ID	si_q	mu_a	si_a	si_d	alpha_t	rho_t	si_m
S1	0.1591	0.7996	6.9e-01	1.4e-04	3.1e+01	0.3297	0.0641 
S2	0.1260	0.9488	8.1e-04	6.2e-03	2.2e+01	0.0869	0.0661 
S3	0.0331	0.9308	4.2e-03	2.8e-05	1.1e+05	0.1766	0.0846 
S4	0.1237	0.9561	1.5e-05	9.1e-03	7.1e+00	0.0208	0.0836 
S5	0.0668	0.9427	1.2e-05	4.7e-05	1.8e+03	0.4522	0.0961 
S6	0.0775	0.8480	1.6e-05	6.4e-03	1.9e-03	0.9999	0.0978 
S7	0.1026	0.8088	1.1e-02	1.0e-03	8.9e+00	0.0016	0.1060 
S8	0.0392	0.7857	1.0e-02	5.9e-03	2.4e+00	0.0152	0.0929 
E1	0.1234	0.8827	1.8e-02	7.6e-03	1.2e+02	0.2699	0.0901 
E2	0.1441	0.9121	3.0e-04	8.7e-03	3.8e+02	0.1285	0.0804 
E3	0.1119	0.9466	6.0e-05	7.5e-03	2.3e+02	0.0070	0.0781 
E4	0.1172	0.8578	1.2e-02	5.9e-03	1.2e+01	0.0477	0.0883 
E5	0.0705	0.9460	1.3e-03	5.1e-03	1.0e+07	0.3911	0.0715 
E6	0.0559	0.9643	3.0e-03	4.9e-03	2.9e+01	0.0044	0.0966 
E7	0.0926	0.9422	1.6e-05	3.3e-03	3.7e+06	0.0003	0.0936 
E8	0.0990	0.8405	2.3e-03	7.1e-03	1.6e+02	0.5336	0.1000 
F	0.0500	0.9000	1.0e-02	1.0e-02	5.0e+01	0.1000	0.0500 
V	0.1000	0.9000	1.0e-01	1.0e-01	1.0e+01	0.9000	0.0000  
M1	0.0360	0.6575	1.1e-03	1.0e-05	2.4e+03	0.0029	0.0865
M2	0.0412	0.7274	8.9e-03	1.3e-02	1.3e-01	0.0062	0.0921
M3	0.0155	0.9473	1.0e-03	7.9e-04	8.3e-03	0.0003	0.0979
M4	0.0572	0.6986	4.8e-03	8.0e-03	2.8e+04	0.1732	0.1056
M5	0.0574	0.8420	9.5e-05	5.0e-04	2.2e+06	0.0352	0.1187
M6	0.0938	0.7309	1.1e-03	1.5e-03	2.2e+04	0.0118	0.1153
M7	0.0594	0.8744	2.4e-05	2.3e-03	5.2e+06	0.0007	0.1245
M8	0.0708	0.7676	9.6e-05	1.6e-03	3.1e+06	0.0040	0.1206
M9	0.0586	0.8751	2.8e-04	1.9e-03	1.9e+06	0.0139	0.1206
M10	0.0589	0.8949	1.3e-04	7.3e-04	3.4e+05	0.1347	0.1258
M11	0.0419	0.9047	1.1e-05	5.4e-04	7.1e+01	0.2443	0.1262
M12	0.0576	0.8587	1.5e-04	1.1e-03	4.6e+03	0.2205	0.1333
M13	0.0560	0.9164	3.3e-05	1.4e-03	1.8e+01	0.1020	0.1366
M14	0.0364	0.8833	6.1e-05	4.4e-03	4.9e+02	0.0041	0.1410
M15	0.0543	0.8100	4.4e-03	8.3e-04	6.8e-03	0.0508	0.1433
M16	0.0546	0.8249	3.0e-05	1.1e-03	2.7e+04	0.3736	0.1423
M17	0.0485	0.8534	1.2e-03	4.9e-04	1.4e+05	0.0019	0.1487
M18	0.0586	0.7947	5.3e-03	1.3e-02	1.2e+03	0.0002	0.1542
M19	0.1233	0.7211	1.3e-04	4.4e-03	4.1e+03	0.0002	0.1610
M20	0.0210	0.9711	1.6e-04	8.6e-04	2.9e-02	0.0004	0.1534
M21	0.0976	0.8624	4.1e-04	8.4e-03	9.6e+06	0.1154	0.1464
M22	0.1091	0.7853	7.6e-04	3.9e-03	2.1e+03	0.0314	0.1644
M23	0.0708	0.8501	3.0e-03	1.9e-03	1.5e+02	0.0220	0.1905
M24	0.0898	0.9185	1.8e-04	3.0e-03	6.8e+00	0.2249	0.1989
